ID,IOU_RASTER,IOU_VECTOR,F1_BOUNDARY,Shape_Similarity_Index_raster,Shape_Similarity_Index_vector
116,0.501068115234375,0.5482454827121147,0.5697558067743927,0.9599097987246051,0.5482452324703639
161,0.1230316162109375,0.15628900701514237,0.21913204422580487,0.9970614639868564,0.15628856297457536
191,0.1390838623046875,0.06959156607259305,0.07887251099043185,0.9766147849391479,0.06959126325405711
2075,0.2187957763671875,0.7086798035423242,0.7086685273354129,0.8491512338582428,0.7086796630916499
2084,0.7249603271484375,0.8388084903570372,0.7297937098410551,0.9124918839790821,0.8388204474300027
2085,0.2360076904296875,0.7203363796488792,0.6505825789405293,0.9772832454454902,0.7203363606486657
2086,0.0491180419921875,0.58353947606513,0.6807339449541284,0.9697073168755875,0.5835391797675944
243,0.1098785400390625,0.16377037566895405,0.1913214402716145,0.883154031350921,0.1637700482354897
263,0.0050201416015625,0.00741325993839607,0.014920484733796717,0.8074152541980933,0.007413259973110235
348,0.02349853515625,0.6284329577006404,0.62557497700092,0.8953508507057804,0.6284324963884886
3701,0.3084564208984375,0.3109929253034328,0.2909235714082544,0.9177005536832764,0.31099285550013345
371,0.105865478515625,0.6254995270177374,0.6425127623369257,0.9665022343364389,0.6254993717260884
3733,0.1109466552734375,0.12846835126927003,0.176098815274073,0.8183613007368771,0.12846808830605816
3771,0.6188201904296875,0.7385139872316497,0.6977913805939283,0.9840609636511584,0.7385140981444638
3806,0.02734375,0.07701286436206507,0.08470371011482315,0.9992182783541332,0.07701289529483857
3816,0.2885589599609375,0.5231817433707823,0.686017012386211,0.9262913713342682,0.5231813280907034
3829,0.130645751953125,0.2790290299172981,0.39969149804917886,0.9396805072121557,0.2790290286390772
3862,0.2374267578125,0.3812660160962919,0.47014399355553316,0.9994938665460016,0.38087793873959735
3873,0.0959625244140625,0.4677134535690274,0.5997424252694368,0.8360523813369299,0.46771333958180944
3874,0.0490570068359375,0.11892341858073868,0.17393211121831417,0.8845596623427068,0.11892339696688868
416,0.3406524658203125,0.6081729502358946,0.6017027487229385,0.9796581967185731,0.608172681751006
433,0.0005340576171875,0.00035635757508356656,0.0019061883041731908,0.9675239499510306,0.00035635757623772324
453,0.4048919677734375,0.47132827754238993,0.5428593035126857,0.9768585109212283,0.4713277444223424
470,0.8975830078125,0.8966073194582188,0.7511019217515347,0.8664114261271469,0.8966076229510874
514,0.6475067138671875,0.6180238566274147,0.6020329188380372,0.9320567751145977,0.6180240754332135
5298,0.56787109375,0.7263375522834924,0.6840224018961332,0.9956342029892018,0.7263381300664578
5299,0.070068359375,0.04868299745909729,0.01764550186748228,0.8356777724769757,0.04868300535709821
5412,0.2859344482421875,0.6288390335015617,0.586600802716888,0.9883023746378892,0.6288359520753981
5465,0.600921630859375,0.6420380053276503,0.6174638446686824,0.9071086070565317,0.6420376853152564
5466,0.5049896240234375,0.7871829999962323,0.7269759380919754,0.9577909370202217,0.7871829927484983
5476,0.306640625,0.7876692093111106,0.7361727402955871,0.9667587576109674,0.7876691246328934
5509,0.831207275390625,0.8948619026189367,0.7593778929827809,0.9849410177453635,0.8948625288563966
5514,0.22906494140625,0.3015928694660902,0.3498881431767338,0.8743803934291869,0.3015928631737589
6507,0.855987548828125,0.8539373978066146,0.7780579369081638,0.951665602614375,0.8539388395351196
6510,0.6479949951171875,0.8318741349248298,0.7636945895836845,0.9421249279269572,0.8318836784179006
6515,0.819305419921875,0.8606250608170904,0.7762048103001222,0.9478052949225239,0.8606252784969289
6517,0.7899017333984375,0.8646847895527421,0.7371051281626979,0.9356100241852934,0.8646849602609062
6526,0.7584228515625,0.8505928410685114,0.7683449462114808,0.9996994501084064,0.8505933205027745
6533,0.89892578125,0.8850084132675229,0.7576524121001661,0.8544649934332252,0.8850087099086028
6544,0.781890869140625,0.8391606283343942,0.7556319762189257,0.9917076199269335,0.8391608704054793
6555,0.45806884765625,0.8496720992680855,0.7786952931461602,0.9946415106437051,0.8500185685632772
6556,0.683380126953125,0.861033639487444,0.7523757939829632,0.9821747131041738,0.8610334403156017
6561,0.58392333984375,0.8747792423481451,0.7675721682388822,0.9613748066275293,0.8747794338162179
6565,0.613311767578125,0.8860274904673383,0.7501177834958141,0.9770877245850885,0.8860276921543846
6572,0.5408782958984375,0.8451244470853881,0.757359023013672,0.939709836611238,0.8451246694717606
6580,0.868438720703125,0.8736413035000695,0.7385172567254423,0.9830452632165457,0.8736415401895513
6589,0.7517547607421875,0.8828166630656246,0.7833757584490018,0.9672028448055036,0.8828151547226959
6600,0.7730560302734375,0.838228713642428,0.7618788770224467,0.982770330069541,0.838228891095929
6601,0.6486053466796875,0.8035762617669875,0.7368010970516736,0.9697690613177852,0.8035762994287173
6602,0.447540283203125,0.7958120427889204,0.7130114094733203,0.9995593619855676,0.7958119290929299
6603,0.274993896484375,0.7317259565349122,0.7172877743364305,0.8483222080382504,0.731725831355945
6609,0.383087158203125,0.8603140352522417,0.7322547640363217,0.9517075412911334,0.8603140159056699
6610,0.703125,0.8858420942414638,0.7637269843885158,0.9665033374853714,0.885842232287337
6613,0.9647979736328125,0.8840879985563752,0.7394977300155163,0.990026541967654,0.8840882135975834
6614,0.8438720703125,0.8460718387545616,0.723761408083442,0.9585715810978872,0.8460398481052244
