ID,IOU_VECTOR,F1_BOUNDARY,Shape_Similarity_Index
100,0.38136810270107796,0.5528790581181663,0.3821596867455796
115,0.35470900379683507,0.5246671823994247,0.3537499495549368
116,0.5350045379075331,0.6984570488135716,0.5356156631705047
117,0.554591994338095,0.7152393974717002,0.5545961986406187
132,0.3618380328061841,0.532053675673118,0.36179733716874396
147,0.38719396343194856,0.5589147959101046,0.3867505192106244
161,0.033894576963639095,0.06556689957178188,0.03395017942874789
162,0.5173213296770344,0.6824062623793006,0.5182682786277324
175,0.11265235758562198,0.20250656328822966,0.11265073533838812
176,0.27996080078495633,0.4378250780176974,0.28015876838764675
191,0.04243451206071492,0.08142155464442702,0.0423463285605446
206,0.13713002894868917,0.2416265728152316,0.13543329409721205
2061,0.33884212554220194,0.5074262126320394,0.3384796176534412
2062,0.2448127702420513,0.39521583217205186,0.2684017772579503
2063,0.3873721876120497,0.5618560749732703,0.3858105726601333
2064,0.10007754789271556,0.1825291194206652,0.09691920206791997
2065,0.1588924236926439,0.2746504052373574,0.1583548516075567
2066,0.2491319916415644,0.3989653128025494,0.24907822597639867
2067,0.15101914740449163,0.26241010403931875,0.15103749663016303
2068,0.05279123214929777,0.10031318933063661,0.052543707493459
2069,0.49328368798160677,0.6617190762960576,0.4929968410276999
2070,0.03692120714305092,0.07122794289431958,0.03671462267612809
2073,0.7324973769413966,0.847558282134498,0.7333555598166693
2074,0.5178637927754998,0.6851354916803669,0.516309779481204
2075,0.5519314882548889,0.7116970193365328,0.5519423452652048
2078,0.8001577829250823,0.892135461340025,0.8000388544711705
2079,0.3412353112391723,0.5097443030204757,0.3409485568017852
2080,0.6852512805875676,0.8169278015473537,0.6869092457970023
2083,0.361967535653354,0.5320176888821337,0.3612695046816905
2084,0.7407616190146115,0.8550508023530901,0.7473789639522682
2085,0.6449098142293602,0.7867923464886509,0.6510179391844336
2086,0.2497370398040517,0.3997224685146149,0.24962508265279595
2087,0.6348046178808873,0.7805509853241568,0.6353905724364165
2088,0.6858836891050292,0.8150912651445746,0.6862473352016116
2089,0.6738537557659902,0.8054603549350483,0.6739371653905698
2090,0.028788906333414886,0.055966595591350095,0.029173023072600526
2091,0.40348894481005276,0.5771879628198945,0.4032851200248705
223,0.009143580368393597,0.018121465659139722,0.009145361340576459
224,0.4715731790491471,0.6425533087985811,0.4725455226015448
243,0.16509321355589718,0.28340246808455044,0.16526864513696607
244,0.5507718984105512,0.7111265158851021,0.5520830994094648
263,0.0026280263455893188,0.005242275852216724,0.002628026338808096
264,0.20883246260177885,0.3456671652328621,0.20958522528918533
283,0.04073996230946716,0.07829037758836864,0.040740420471848095
284,0.18799190021418236,0.31664639196490607,0.1884013803397398
304,0.17337781432975286,0.2960238931888387,0.17226510091681885
324,0.1708728442597479,0.29236180904322834,0.17015056898433967
325,0.18861778314900465,0.3175189714415065,0.19271163200207297
347,0.03755149464956012,0.0723879401532931,0.03751720541186809
348,0.06358505304001474,0.11965833278226361,0.06322830908600585
3680,0.35144138195928526,0.5201443726263556,0.3517517945097893
3681,0.04586828602027869,0.08771601110028825,0.04583917216783392
3699,0.4417247739853006,0.613110632995969,0.44179873825557414
370,0.10065343656918588,0.1828976010659388,0.10122819845139341
3700,0.29520085002514035,0.4561059293393307,0.29558331072919547
3701,0.2721439286011877,0.4279831428867123,0.2721366705245001
371,0.16932114115300045,0.2903417255743996,0.16788843798828934
3716,0.6978197977046463,0.8225540450187454,0.6984821383326162
3717,0.3689260525201812,0.5391439846376623,0.36891275762433395
3732,0.5943500111002984,0.7461485049388785,0.5951480496186472
3733,0.11447678338475475,0.20545205120743404,0.11440821606493981
3746,0.372085457050769,0.5430446746840922,0.37145136739962525
3759,0.6452892227874871,0.7845248421478314,0.6452930081041656
3771,0.6069245003657532,0.7554297631428544,0.6072637705603509
3782,0.4875583549934617,0.6556029866481585,0.48796548348713253
3793,0.2340610689716662,0.3794354801224821,0.23425202699374417
3804,0.28743984323069793,0.44653313946928436,0.2878668400173675
3805,0.21491624611459303,0.3538765342864522,0.21576792257627495
3806,0.11667540930976905,0.2089692463483534,0.11667540929169685
3816,0.49301536167234694,0.6610705845204565,0.49326091564809044
3817,0.17823690536810616,0.3025485020391807,0.178237402009343
3829,0.2842536096948232,0.4426751968071752,0.28425360974336356
3840,0.5723631495260977,0.7281111733603886,0.5729972296627069
3841,0.12691347919096965,0.22524085752676606,0.12691347911165587
3851,0.5664359257922085,0.7237475350316062,0.5663089074454585
3862,0.17025997092909156,0.2913029349708349,0.1696253495792057
3873,0.3125469330380872,0.47625356598394064,0.3125600893375806
3874,0.006106744921808119,0.012139357881521115,0.0061082072605815165
393,0.16902265706891384,0.2893365443247823,0.1685003299687846
394,0.2749740113301164,0.43164746913985824,0.2747955914878728
416,0.4366779570112872,0.6088069508885,0.43607839901348233
433,2.5943734189254672e-05,5.188612225874538e-05,2.5943734308802846e-05
434,0.0950366542885912,0.17365913550598958,0.09464870458987897
435,0.3177732366615604,0.4826782564268486,0.31772001937646976
452,0.004761147245905426,0.009477172279729582,0.004761147202490985
453,0.37217713128936686,0.5427405061549234,0.3722236994111231
454,0.5152866291563575,0.6805896959839087,0.5152303270243729
468,0.0030503477267589626,0.006082142813193797,0.00305034607215897
469,0.5452556013306492,0.706808858564569,0.5444632934800245
470,0.7520558831674152,0.8606461228766275,0.7522853378797013
481,0.009046920740498137,0.017931615577345735,0.00904692071289449
482,0.1757942434099155,0.29902211958498404,0.17579424357874893
4824,0.10150380728934078,0.1843714272019746,0.10141979461712716
4827,0.030136814901144726,0.058510315262152925,0.030136814963045513
483,0.7221318128460629,0.8394466965277575,0.7228692541295267
4830,0.3012687464088796,0.4631531077257907,0.3012947981644343
493,0.05193693764382078,0.09874534452352603,0.051936937582920284
494,0.3701989871723227,0.5405681846875647,0.37028718144034534
504,0.25477723488867415,0.4060945888663883,0.2547985471986267
513,0.2736804773088861,0.42978906360156194,0.2736295834136378
514,0.5699274725235896,0.7276443955542017,0.5687821603077827
515,0.6423329364152646,0.7860684040574353,0.640843821273874
521,0.11569798625381837,0.2074068990291239,0.11566837915968561
522,0.2470787464509644,0.3966242632968828,0.24630681124900342
523,0.07303775042693966,0.13615914060204934,0.07284683821163251
524,0.7245271176657616,0.8417357728539502,0.7241142114120771
528,0.0038353567244327168,0.007641405931242917,0.003835356740323196
529,0.5925111873390569,0.7461030040085701,0.5914722599980633
5298,0.3616339499800318,0.5319461351175406,0.36265123511982494
5299,0.0010560704048963201,0.002109972471436821,0.0010305132158918975
530,0.004723757543461244,0.009403097135894909,0.004723757560787081
531,0.2730960452200733,0.4291932767183272,0.27285974490827886
5327,0.2656177407523102,0.4236889446371343,0.25822843672447976
5328,0.02104970582476711,0.04124781067457469,0.0206753664588767
5355,0.479813321553677,0.6514504018221113,0.47738014789304284
5356,0.3547484994516431,0.5244413055376037,0.354500369928188
5384,0.4530184166724652,0.6263114889244561,0.45126448381851597
5412,0.3643473806140745,0.534932895151082,0.3645398972785623
