ID,IOU_VECTOR,F1_BOUNDARY,Shape_Similarity_Index
100,0.7044981794859018,0.8290778153034153,0.7031475961947731
115,0.25621820109518606,0.40864817685219734,0.25459325337367145
116,0.4917033074885365,0.6613906038027665,0.4893523598103308
117,0.6977783010241841,0.8244251162309344,0.6964778809152767
132,0.42190748635463593,0.5949557887693131,0.41984667693589767
147,0.4244304465975114,0.5970285474097426,0.4229831073937499
161,0.08583419542498417,0.15818925429138994,0.08526363585619148
162,0.7342759518289036,0.8484791639634202,0.7334598734361525
175,0.08636308438208572,0.1590360232282185,0.08610698114709282
176,0.514439009313801,0.6806847194609827,0.5131096048251488
191,0.12092073601395911,0.2157640763678748,0.12086807584164874
206,0.13675129654932935,0.24094229086708818,0.13535993137342345
2061,0.601803929193101,0.755115971861476,0.5986905940961201
2062,0.3465600916442784,0.5335201216834049,0.3156776954496071
2063,0.3684482257423857,0.5416704119072306,0.36477208037754505
2064,0.19488045370265822,0.3280828861562238,0.18933104160725198
2065,0.6060213099924814,0.7613572682064068,0.6005220568021977
2066,0.3208478833153532,0.4860592157220252,0.32040813302602106
2067,0.48937348943334386,0.6571850751319418,0.48946245834029517
2068,0.19589103377760628,0.3278510003906455,0.19521813835340446
2069,0.5379936962517787,0.7011188098984364,0.536508120006682
2070,0.2714630031588482,0.42744505256928605,0.2705263817426743
2073,0.6055210465630394,0.7562779847164585,0.6041463902641722
2074,0.6422407996670781,0.7861834500620509,0.6394706885978099
2075,0.41649527456071334,0.5884442672644952,0.41596400122161914
2078,0.7091391446811325,0.8326587572301145,0.7076800282734321
2079,0.5412678250495511,0.7042047659303577,0.5395731296145545
2080,0.6197455378011255,0.7695889156668134,0.6163824585079491
2083,0.344590400901029,0.5130336938097243,0.3437976919408968
2084,0.7574414488385455,0.8700957515682586,0.7539098716292836
2085,0.447851383226404,0.6225752613431376,0.4428093426369577
2086,0.37433674984370585,0.544811578432786,0.37424846222618
2087,0.4783125078540799,0.650272164687853,0.4747886903409235
2088,0.5966985018610557,0.7491021431294986,0.5953038604742916
2089,0.5784991624601411,0.733303448867478,0.5782002532453105
2090,0.6121850355173297,0.7637656704987391,0.6088479819759437
2091,0.5455237702892721,0.7095377592408529,0.5424909244087184
223,0.023738059834660194,0.04638001355390676,0.023635636107699167
224,0.7481901611735219,0.8600341325207563,0.7465246770224087
243,0.14012005933253224,0.24590695167858823,0.13971240188307402
244,0.7740831098176781,0.8747066674367647,0.7734628161568989
263,0.003669422144618269,0.007312013425256258,0.0036694221775095516
264,0.6515584253802463,0.7909948383737777,0.6501996223250308
283,0.05602803716640732,0.10611131888857495,0.05602410281807467
284,0.41984569654206544,0.5928075027849473,0.4178987169041079
304,0.16473488135174763,0.2835568591275797,0.16241820161752113
324,0.18901153470719684,0.318753926303881,0.1866112817331449
325,0.3232834007847958,0.4914758534086444,0.31902378620989835
347,0.06079731024653994,0.11464960368651064,0.06059030542599858
348,0.09986689012749249,0.18202639260142334,0.09758989084377932
3680,0.45420734611435104,0.6250302765457968,0.4538373713423268
3681,0.03810022498299526,0.07340714113121084,0.038054125647752415
3699,0.5361274729670835,0.6987532311557929,0.5354230804832837
370,0.13000191159748345,0.2302817214860341,0.12919319600892196
3700,0.5114914994422032,0.6780074159519042,0.5102946320534733
3701,0.26812428660353715,0.42316687328907676,0.2675236725501116
371,0.2643712513529887,0.42027215820497127,0.2598340398071048
3716,0.8617109194472231,0.9268531482561112,0.8614692765464129
3717,0.3474620461727477,0.5159976158589902,0.3470309468919855
3732,0.763470705879391,0.8671915769668691,0.7631697624307826
