ID,IOU_VECTOR,F1_BOUNDARY,Shape_Similarity_Index
100,0.7561009390574653,0.8637853154474342,0.7550553654133496
115,0.3079078278997276,0.47177726286099725,0.30622119574748097
116,0.504547762812606,0.6728845591899351,0.5023068394608736
117,0.7489737155809505,0.8591161368599205,0.7479824037966283
132,0.424709497264071,0.5977230661638118,0.4227092848438466
147,0.42739757250631577,0.5999050056548311,0.4261111366719232
161,0.10548589562132024,0.1909642927534149,0.10485937650260771
162,0.681838879043119,0.8121939893739165,0.6816341320351619
175,0.09123673034433698,0.16726352358308533,0.09096298704955015
176,0.5302951360816268,0.6943248678122456,0.52923970811641
191,0.0746740728099527,0.13898038564513018,0.0746043516349637
206,0.15633572165933174,0.27079506779007184,0.1549417864440744
2061,0.7120634587545513,0.8364147834273585,0.7095674110233006
2062,0.4269542763616474,0.6150652689165748,0.43932965587782535
2063,0.6309691927399682,0.779561016349126,0.6328474127751337
2064,0.5177307658575406,0.6909263551568477,0.5090527137224602
2065,0.646384067808098,0.7925123668047681,0.6414424111216396
2066,0.5022413841947051,0.6687655655253771,0.502553239345768
2067,0.6020133520712307,0.7516076394719957,0.6022047007180248
2068,0.5805176510985931,0.7356787188579084,0.5802089349908179
2069,0.6997111887401551,0.8254877710202198,0.6989406602135672
2070,0.34755532172956277,0.5164917596366877,0.34644507650744266
2073,0.6886836421142833,0.8177720409075523,0.6881017217198258
2074,0.6721800052646931,0.8082733657115102,0.6699186436674173
2075,0.5621017002106099,0.7202397043164787,0.5616073623086019
2078,0.7919186536212048,0.886949355188251,0.7915798951892337
2079,0.5725551499648491,0.7301200346005505,0.5711629855768614
2080,0.7131566515372358,0.8376845653357337,0.7109411972467693
2083,0.39271314237096205,0.5645336666785563,0.391886432323312
2084,0.7894482062691549,0.8903744140971768,0.7878359951330693
2085,0.6598251878058217,0.8016843455507922,0.6562301496340391
2086,0.48832531452941447,0.6562983496775021,0.4882483436944516
2087,0.5422719362993244,0.7069196232948685,0.5390569031695647
2088,0.6573072160298257,0.7950831887700838,0.6561950478871762
2089,0.7018681726358241,0.8251946621479698,0.7017719238876909
2090,0.6372938464673561,0.7833444878172426,0.6343451464419243
2091,0.6360239423282573,0.7816561528714401,0.6342022581907618
223,0.02507029414953759,0.04891962725289872,0.024961308734120707
224,0.7429087529733291,0.8564534660218395,0.741452088589452
243,0.1492397512323926,0.2598373052259073,0.14882084065678877
244,0.7943736597110438,0.8874783489627739,0.7939787086497118
263,0.0038192660152990394,0.0076094694428958136,0.003819266004499201
264,0.6747485352224691,0.8078490196024869,0.6735283204569817
283,0.060634623750230925,0.11433701075464461,0.060630267339054376
284,0.5051700403906073,0.6730902922653328,0.5032091737939558
304,0.20893795047293565,0.346702268638295,0.20611766367399872
324,0.2767190575498749,0.4349769367059293,0.27385205541657204
325,0.5145729105105264,0.683733300344191,0.5150588070353187
347,0.06529391289194461,0.12261341961695879,0.06505375836877485
348,0.5596498127495102,0.7246770413821682,0.5557682980876368
3680,0.453957525761957,0.6247908522697891,0.4536196012777238
3681,0.03812057683185489,0.07344474435653929,0.038076925521799095
3699,0.5308186961765836,0.6941855656504411,0.5302607475157685
370,0.24723114313366562,0.39711531912893333,0.24566724473117513
3700,0.49421537455017883,0.6624171169402211,0.4936611058927617
