ID,TEMPORAL_BOUNDARY_SHIFT
116,16.716018029393734
161,21.262191853379665
191,61.19600698184341
2075,53.90492972263794
2084,32.368093161862255
2085,54.522356444931006
2086,134.72967945347875
243,29.858989771692297
263,63.705098371653165
348,207.68220839631505
3701,19.567788636140477
371,73.50548259844359
3733,22.579739448926052
3771,19.169307634635842
3806,62.67250452841726
3816,102.49781041802713
3829,66.97543223503314
3862,41.420255570020906
3873,88.44872279339812
3874,44.473609207758244
416,35.65546005755911
433,36.58599554764785
453,18.599670439769092
470,13.62930921916239
514,16.232145262530544
5298,34.23659876790219
5299,19.50073056890811
5412,67.24609421094493
5465,39.56469001695506
5466,31.400048581222904
5476,50.36281576301141
5509,37.391998311809566
5514,53.70973703267479
6507,16.015846490077248
6510,26.144217360205324
6515,16.792864131663794
6517,29.892452631203106
6526,21.132769217235317
6533,19.044062064810557
6544,22.649349516818535
6555,64.67824764668498
6556,36.18180060776236
6561,69.79360422134614
6565,45.201714776857045
6572,43.50819891354106
6580,13.59404968424217
6589,13.280818653346119
6600,26.260153706051465
6601,26.253672372903427
6602,29.362440350946198
6603,69.44909617288367
6609,51.09238002805827
6610,47.709344427041295
6613,65.37423217296433
6614,23.593256537496973
6627,73.23889769894012
6630,23.11621982376436
6634,94.02533102156336
6637,22.792334711654224
6639,42.2672489683605
6651,12.012560832197199
6652,28.641141503860617
6658,14.385459913470603
6680,15.809586096751554
6682,34.41255512847875
6686,20.266862799997885
6687,13.760795193534245
6689,73.76871319610773
6694,30.166676964476295
6699,24.527473540394833
6703,25.086605111848854
6707,37.04553452725455
6710,39.79729703395249
6715,118.74163406966252
6722,83.8899487133267
6728,100.91039395400676
6743,29.714747333436275
6752,30.64399280303632
6760,40.274460589568726
6762,84.27543694869632
6765,146.62313329278453
6770,29.7411359440302
6773,53.697747078083246
6775,15.389687926626841
6776,18.951191191837488
6777,31.770921112771624
6778,24.904910108343476
6779,34.950450164694466
6781,30.301194433439864
6795,74.37032417157532
6810,67.61443335134362
6833,18.150909665481596
6836,19.232789243923285
6838,60.677910200999136
6849,26.66851931258618
6866,27.11108529176768
6869,78.32721873438466
6874,141.10203192850673
6876,37.848949512104596
6878,19.906624337266283
6880,63.16670963626659
6892,27.163885835193096
6897,51.81651490707409
6916,11.974869123601156
6922,132.66585620758784
6923,19.38989957007364
6924,13.782475993110253
6925,27.494397800302583
6926,29.024476997107264
6927,25.596979295972936
6936,19.651133014456022
6938,32.28983724714257
6939,66.85665623579773
6946,29.67180655562786
6947,28.07754217948859
6948,72.40961880610969
6950,25.113665217125
6951,50.69569664473346
6955,96.42675843046705
6956,24.711784411041243
6961,14.614732850291553
6962,72.02444643009687
6963,65.13747725111472
6964,46.53494236672487
6976,53.37287600440383
6980,67.31391699198504
6988,20.135763202347878
6989,156.62120438984502
