ID,TEMPORAL_BOUNDARY_SHIFT
116,15.676968118177264
161,13.857292409070311
191,43.56505820456933
2075,63.845693034888505
2084,19.313197931700124
2085,36.519174278046286
2086,72.83213185383188
243,30.95091389816826
263,57.665578609594654
348,115.00470031897169
3701,19.248647806646495
371,75.93240846321598
3733,11.064572872805103
3771,15.599602798299255
3806,59.05857152861901
3816,99.63839591370669
3829,69.61009442162815
3862,15.783142287003752
3873,82.27367519696628
3874,34.822253993422166
416,33.793827183430565
433,22.807774018173877
453,48.47444068747688
470,15.360178631588013
514,11.710704237335067
5298,37.779605748059964
5299,21.033259063538633
5412,31.251537838275233
5465,29.590829166533087
5466,24.568942208997473
5476,29.37504326591087
5509,37.615245224031284
5514,53.842411694598376
6507,27.8573794971237
6510,25.224437099427554
6515,21.17540705273462
6517,24.078235776312017
6526,12.416667665896767
6533,10.942328340337932
6544,18.461683217933473
6555,22.43525690069158
6556,22.526163636166597
6561,67.16758605291815
6565,47.67923268088015
6572,37.133097474891635
6580,13.96195339424931
6589,14.798544063306585
6600,26.53764820654705
6601,21.58531900202816
6602,28.43088195301047
6603,86.8146121411852
6609,41.1874502101832
6610,25.885863695618852
6613,10.568109538542949
6614,15.150326742810421
6627,71.61912298538584
6630,16.023303015523673
6634,63.32565087279763
6637,66.40670364093661
6639,55.42810388867912
6651,26.818356204630604
6652,32.18432087229236
6658,19.959383226292662
6680,32.86178616665023
6682,21.152565333684617
6686,19.00929504210816
6687,14.303890971311123
6689,38.69353519479925
6694,22.082198392239494
6699,12.647516748519593
6703,25.725587425631343
6707,19.3803411512229
6710,32.18867931862583
6715,119.35143895840412
6722,35.16728693369673
6728,39.80270480450123
6743,29.805129059546314
6752,21.250591952065925
6760,29.60677095893553
6762,28.13197595478531
6765,140.2997866164094
6770,26.778859860620056
6773,50.051655328288845
6775,16.23245690256773
6776,17.96029109699289
6777,41.86907310686611
6778,23.077286662466843
6779,71.92984267378006
6781,45.154890454849976
6795,72.66766525893007
6810,38.879378796479024
6833,12.075503472542943
6836,15.758140622452833
6838,30.362243160864267
6849,21.13246946693613
6866,22.17686538142022
6869,54.4398226038049
6874,30.865759124906674
6876,34.33692437183137
6878,16.200922652534217
6880,36.51808957042262
6892,17.926976556517722
6897,15.75730349923121
6916,13.309620198753954
6922,130.11821578151068
6923,41.26446548174457
6924,13.717021752007575
6925,19.075389556886126
6926,16.978315257206102
6927,20.939564852443695
6936,25.29910422513417
6938,16.405961328768818
6939,55.73210022986611
6946,32.65208594835528
6947,19.428055290813486
6948,48.692905838535054
6950,16.20820697651291
6951,48.224186753135406
6955,99.92001701248408
6956,21.013661683872357
6961,20.423911485306185
6962,94.66284168946495
6963,55.97123223090121
6964,34.82810493395876
6976,52.73125187445203
6980,69.9628274557791
6988,18.578479326022837
6989,153.584452183975
