ID,TEMPORAL_BOUNDARY_SHIFT
116,22.987043079444398
117,36.868422686964486
132,14.75771754896886
147,10.4158720512647
161,63.23629250554118
162,20.623374402401875
191,145.93310794207244
2075,49.93636067874197
2084,37.750062303059735
2085,80.94743793298677
2086,83.77145255280129
243,61.47376172803017
263,65.2049921732361
284,130.117804300484
348,209.26150773333165
3701,23.1682639100931
371,74.15614498809956
3733,23.441862979272948
3771,17.95711839412392
3782,76.380228896074
3806,79.37666010617221
3816,120.7947009555579
3829,68.68531605820445
3862,35.81845696622391
3873,34.72041245641871
3874,30.41659241616723
416,52.227151407734645
433,26.52889173852018
453,29.662309673226563
470,18.81341385094705
514,13.250954998355954
5298,70.86035588198109
5299,81.6215171195109
5412,52.12242585042522
5465,48.126188551080304
5466,29.298136120163946
5467,77.28099409023959
5476,78.37919575011993
5509,21.98983316447217
5514,57.05704009832646
6507,15.0289962108686
6515,37.883393346212195
6517,49.609006933786944
6526,39.71111825764
6529,21.0748868232344
6533,26.671016648908786
6544,30.35968781674265
6551,45.95369022745503
6555,34.850412500647586
6560,24.98330626371086
6561,34.69914415505531
6563,48.98515333070124
6564,31.645740809493635
6565,54.46399133824355
6567,147.51591814961137
6572,30.304296875331907
6579,43.48045214444802
6586,47.89554724504457
6587,37.189572268598766
6588,31.176622418487046
6596,35.68238923292446
6600,37.27409151548022
6609,64.2724870142357
6611,50.949209649728886
6612,48.96160490540794
6613,28.523305226225858
6616,14.853204256000552
6620,158.61961020225496
6626,132.71601169490955
6629,36.26788691945325
6630,85.89333237609955
6636,199.12320846847163
6641,68.6356833774492
6642,28.1249754805984
6643,19.573330007438255
6648,73.16999667516815
6654,69.13933656027368
6656,33.102032676370214
6664,36.526009342127956
6674,66.44405252174344
6683,159.09173475568247
6684,27.028266479406756
6686,36.33111493107688
6687,27.244942406077712
6688,56.34003351601286
6693,44.69307629621068
6705,24.25251319349007
6707,38.380046346220695
6708,33.37479517933966
6716,35.71747361482717
6721,128.2560302603513
6734,40.76461311141626
6750,91.96536417583468
6759,34.687867158274265
6761,50.438239242061464
6764,36.63549249696045
6777,24.13508140869693
6778,35.7752573578415
6780,55.86081556402897
6782,73.53288892145258
6783,21.780671605236048
6785,20.401394646467594
6786,52.50312400505215
6788,75.26189490842481
6790,49.030826593407646
6800,85.58006447721223
6817,10.5277602138084
6833,58.02379895273788
6835,63.23962783800705
6846,25.95240530956272
6849,23.666053478550136
6864,69.96612436910915
6869,99.22654401315818
6874,106.38048674944902
6876,41.65669736340714
6892,22.08171141754542
69,34.82662061620379
6908,48.72014577555784
6924,12.708129403975512
6925,18.65449360399265
6934,44.59497891729402
6936,27.559937709764174
6946,43.199734019306206
6947,59.32943687492624
6950,61.59963113895314
6951,40.32216528802398
6962,120.18380694276235
6967,52.25311300637831
6980,56.73310134404265
6988,22.054745544886682
6989,0
84,31.875708328361718
