Current Epoch,Training Loss,Validation Loss
0,0.5321093385573477,0.49515161011368036
1,0.48898380249738693,0.48363163974136114
2,0.4754446854349226,0.4825439704582095
3,0.4703148247208446,0.4749352252110839
4,0.4671533736400306,0.47290483489632607
5,0.46590174664743245,0.4689695565029979
6,0.4651123418007046,0.4664277629926801
7,0.46291367686353624,0.46567549649626017
8,0.46082493383437395,0.4653573641553521
9,0.4608900980092585,0.4653782891109586
10,0.4598125843331218,0.4647561376914382
11,0.45945272385142744,0.4624777929857373
12,0.4582955630030483,0.4625019049271941
13,0.45897928765043616,0.46572608314454556
14,0.45878072921186686,0.4620857769623399
15,0.457104149274528,0.46075929142534733
16,0.45630170684307814,0.4695920357480645
17,0.4566013771109283,0.4603815143927932
18,0.4561762085650116,0.46024492383003235
19,0.4561385549604893,0.4610066991299391
20,0.4555721136275679,0.4596953419968486
21,0.4556091877166182,0.46003036201000214
22,0.45595094561576843,0.45922022592276335
23,0.4548170168418437,0.46188671607524157
24,0.45452944771386683,0.45804709754884243
25,0.4541211349423975,0.4588285544887185
26,0.45441422145813704,0.4620884880423546
27,0.454065267695114,0.4586916118860245
28,0.452706002863124,0.4567206734791398
29,0.4519087434746325,0.4565069954842329
30,0.4517670995555818,0.45660360623151064
31,0.45192450750619173,0.4571400582790375
32,0.451221082592383,0.4563390389084816
33,0.4509796481579542,0.4566066041588783
34,0.45120535511523485,0.45652581844478846
35,0.4507816357072443,0.45699297077953815
36,0.449894756777212,0.4558698469772935
37,0.44951402209699154,0.4561358140781522
38,0.44964592927135527,0.45570353139191866
39,0.44985460746102035,0.45675615407526493
40,0.44919618498533964,0.45562561228871346
41,0.4490484860725701,0.4553001280874014
42,0.44903434952721,0.45984892547130585
43,0.4488234056625515,0.45740522630512714
44,0.4492842396721244,0.4588851211592555
45,0.44781098212115467,0.4567209994420409
46,0.44743460323661566,0.45740258134901524
47,0.4473267775028944,0.45763152465224266
48,0.4466053412761539,0.45499719493091106
49,0.44664396555162966,0.45561672654002905
