Current Epoch,Training Loss,Validation Loss
0,0.5340101197654126,0.5360372033901513
1,0.4932654833092409,0.48566755978390574
2,0.4858342298105651,0.4838775568641722
3,0.48145222815812805,0.4819310111925006
4,0.47941831478885577,0.4808469461277127
5,0.4783997037831475,0.48145066667348146
6,0.47757969627193375,0.47900007758289576
7,0.47634193558318944,0.47636159881949425
8,0.475203829536251,0.4744507079012692
9,0.4744486149619607,0.4742867681197822
10,0.47377548252834994,0.4725638059899211
11,0.47343543744554706,0.4744349564425647
12,0.4723104270065532,0.47249821573495865
13,0.47210612075001585,0.4714613435789943
14,0.4716153327156516,0.4717219267040491
15,0.4711583450728772,0.4722781819291413
16,0.47047456947027466,0.4759149239398539
17,0.46887904826332544,0.46974102035164833
18,0.46868441677560996,0.4695151853375137
19,0.4692155841518851,0.4696182105690241
20,0.46803725829311443,0.47590232035145164
21,0.46801793154548194,0.4679931662976742
22,0.46754325195854785,0.4686286165378988
23,0.4674243718970056,0.46769462525844574
24,0.46775717688541785,0.4675209065899253
25,0.4676361755997527,0.4696204960346222
26,0.4673269483388639,0.46912346174940467
27,0.46685471850283006,0.46867855126038194
28,0.46592691155040966,0.4677446223795414
29,0.46584795257624456,0.4664993518963456
30,0.4653943168181999,0.46626285649836063
31,0.4652905542476504,0.4685945506207645
32,0.4654778268991732,0.46775234024971724
33,0.4650374943134831,0.4713395885191858
34,0.4648214954955905,0.465392439160496
35,0.4641833803232978,0.46545703476294875
36,0.46451436000711777,0.465871749445796
37,0.46486949710284964,0.46621012361720204
38,0.4639891202543296,0.46468452364206314
39,0.46389010349909465,0.4649320747703314
40,0.4635968561265983,0.46453786501660943
41,0.46375844537043104,0.4649144634604454
42,0.4633113011425617,0.4657635036855936
43,0.4634873816780016,0.4647480812855065
44,0.46348981541745804,0.4644906078465283
45,0.46366115621491977,0.4639918371103704
46,0.4631167237665139,0.46433984534814954
47,0.46370814851686065,0.46466106129810214
48,0.462750668034834,0.463898743968457
49,0.46320299295818107,0.46421478409320116
