Current Epoch,Training Loss,Validation Loss
0,0.5249920012429357,0.48984634270891547
1,0.49044952949043363,0.481233567930758
2,0.4855977015104145,0.491473819129169
3,0.48225397092755884,0.4810461150482297
4,0.4802340166643262,0.4791336739435792
5,0.4782493351958692,0.4907264723442495
6,0.47645268973428756,0.4741702419705689
7,0.47614379529841244,0.4711550469510257
8,0.4754132720408961,0.48080775374546647
9,0.47476503788493574,0.47479093726724386
10,0.4735517979133874,0.47611197642982006
11,0.47149742930196226,0.47247192077338696
12,0.4702928514452651,0.4688370213843882
13,0.4696156915742904,0.4667504169046879
14,0.46934928523842245,0.46713233133777976
15,0.46957833250053227,0.4661799157038331
16,0.46937668370082974,0.46781807113438845
17,0.4684795280918479,0.46707769483327866
18,0.46856784739065915,0.46641716081649065
19,0.46712295373436064,0.46705822134390473
20,0.4665431062458083,0.4660718101076782
21,0.4663958518067375,0.4652497125789523
22,0.4661246355390176,0.46445236168801785
23,0.4659373399335891,0.4647049247287214
24,0.4662132441299036,0.4637049655430019
25,0.46604278520680964,0.4647481772117317
26,0.46614805271383375,0.4626325247809291
27,0.46573576563969254,0.46333998860791326
28,0.46565888833720237,0.46403683070093393
29,0.46550490718800575,0.46314791589975357
30,0.46454821282532066,0.4635624852962792
31,0.46414747810922563,0.4621729226782918
32,0.46438128175213933,0.46215594187378883
33,0.4641955130500719,0.463012486230582
34,0.4638800083193928,0.46295832749456167
35,0.46357717481441796,0.4627351355738938
36,0.4636116625042632,0.4620285336859524
37,0.4632875070674345,0.4634174043312669
38,0.46287012833636254,0.4618426701053977
39,0.4633189357118681,0.4616207266226411
40,0.46305100712925196,0.46244322741404176
41,0.4626755060162395,0.462915126234293
42,0.4628953594947234,0.4626479516737163
43,0.4627823942573741,0.46193891298025846
44,0.4629185062367469,0.46257460908964276
45,0.46297770855017006,0.4622736368328333
46,0.4626238936325535,0.461374519392848
47,0.4625851617893204,0.46151955518871546
48,0.4629800687544048,0.46123751159757376
49,0.4625286841765046,0.463018118403852
