Current Epoch,Training Loss,Validation Loss
0,0.5585567473899573,0.6971921492367983
1,0.5131047170143574,0.4879827694967389
2,0.5041687269695103,0.4817661978304386
3,0.49808829999528825,0.4783230060711503
4,0.4945788059849292,0.4741175193339586
5,0.4959087155293673,0.47300662100315094
6,0.4924471518024802,0.4777326239272952
7,0.49251157930120826,0.4696627650409937
8,0.49179420131258667,0.4689220590516925
9,0.4905903488397598,0.47029538080096245
10,0.4903772890102118,0.47034492157399654
11,0.4925729907117784,0.4678900456055999
12,0.49073325120843947,0.46836039517074823
13,0.48807012219913304,0.4640487162396312
14,0.49052166659384966,0.4658889342099428
15,0.49005218618549407,0.46538202464580536
16,0.4893190481234342,0.4689701711758971
17,0.48702959483489394,0.4627607334405184
18,0.48545026849024,0.46417700964957476
19,0.48690001224167645,0.4626952921971679
20,0.48776887892745435,0.4625323573127389
21,0.48807976651005447,0.4620566386729479
22,0.4849949290510267,0.46441650204360485
23,0.48493881011381745,0.4625432202592492
24,0.48952254676260054,0.4633314972743392
25,0.48414525436237454,0.46004465222358704
26,0.48732651118189096,0.4601551275700331
27,0.4854252119548619,0.4600497102364898
28,0.48588166246190667,0.46235921047627926
29,0.4856129325926304,0.45958404429256916
30,0.4817616268992424,0.45919791609048843
31,0.4860819671303034,0.45949691999703646
32,0.4831005549058318,0.45923596154898405
33,0.4823136168997735,0.46067350171506405
34,0.48444651276804507,0.4588003335520625
35,0.47932077990844846,0.4591847909614444
36,0.4860442078206688,0.45864517986774445
37,0.48235250264406204,0.45898309350013733
38,0.4854532869067043,0.4588437033817172
39,0.48590361839160323,0.4583462495356798
40,0.48385741747915745,0.45837908424437046
41,0.48201131471432745,0.4582839049398899
42,0.4834588912781328,0.4584218580275774
43,0.4844354644883424,0.4583939462900162
44,0.4822335715871304,0.4580484079197049
45,0.4842271024826914,0.4582545794546604
46,0.4867371872533113,0.45826867036521435
47,0.48293427168391645,0.4579801671206951
48,0.48325589182786644,0.45812470745295286
49,0.4816028499044478,0.4579593511298299
